,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
110,bathsheba,40,BB,1572988013,70,13.22,-59.52,30,8.7
111,alofi,40,NU,1572987767,65,-19.06,-169.92,25,6.2
112,skopelos,0,GR,1572988013,77,39.12,23.72,20,6.2
113,ningxiang,100,CN,1572988013,87,28.28,112.55,15,2
114,faro,0,PT,1572988013,77,37.02,-7.94,16,4.1
115,amderma,,,,,,,,
116,talnakh,100,RU,1572987750,78,69.49,88.39,-12,8
117,shelburne,75,CA,1572988013,56,44.08,-80.2,7,6.7
118,saskylakh,84,RU,1572988014,96,71.97,114.09,-21.94,1.74
119,cherskiy,30,RU,1572988014,78,68.75,161.3,-11.9,2.1
120,mae ramat,80,TH,1572988014,96,16.98,98.52,20.49,0.53
121,port elizabeth,1,US,1572988014,44,39.31,-74.98,17.78,3.1
122,sijunjung,99,ID,1572988014,87,-0.69,100.95,19.78,0.87
123,ust-bolsheretsk,,,,,,,,
124,copiapo,0,CL,1572988014,63,-27.37,-70.33,18,4.6
125,avarua,100,CK,1572988014,69,-21.21,-159.78,24,3.1
126,khatanga,0,RU,1572988014,86,71.98,102.47,-21.01,4.3
127,owensboro,1,US,1572987865,50,37.77,-87.11,13,4.1
128,ilulissat,40,GL,1572988014,58,69.22,-51.1,0,5.7
129,poum,20,MK,1572988015,72,41.28,20.71,15,6.2
130,aktash,,,,,,,,
131,yanchukan,,,,,,,,
132,saint-philippe,90,CA,1572988015,93,45.36,-73.48,9,4.1
133,maceio,20,BR,1572987911,69,-9.67,-35.74,26,6.7
134,antalaha,61,MG,1572988016,82,-14.9,50.28,25.92,5.5
135,camacha,75,PT,1572987717,68,33.08,-16.33,20,7.2
136,volosovo,75,RU,1572988016,86,59.45,29.48,1.11,8
137,kamenskoye,,,,,,,,
138,tomohon,20,ID,1572988016,88,1.33,124.84,22,0.5
139,jardim,96,BR,1572988016,41,-21.48,-56.15,32.58,2.46
140,rio gallegos,40,AR,1572988016,57,-51.62,-69.22,9,12.3
141,novoagansk,100,RU,1572988016,96,61.94,76.66,-3.15,2.28
142,brookings,90,US,1572988016,79,44.31,-96.8,-1,2.6
143,kiunga,100,PG,1572988017,98,-6.12,141.3,21.39,0.39
144,albany,90,US,1572988001,62,42.65,-73.75,13.33,2.75
145,cheuskiny,,,,,,,,
146,aksay,98,KZ,1572988017,61,51.17,53.01,1.27,7.82
147,bone,73,DE,1572988017,91,51.97,12.14,8.89,2.94
148,hay river,75,CA,1572988017,62,60.82,-115.79,-6,8.2
149,norman wells,75,CA,1572988017,72,65.28,-126.83,-9,3.6
150,vila franca do campo,75,PT,1572988017,63,37.72,-25.43,17,2.1
151,serpa,20,PT,1572988018,76,37.94,-7.6,13,4.6
152,zavetnoye,77,RU,1572988018,94,47.12,43.89,9.79,4.12
153,bambous virieux,40,MU,1572988018,94,-20.34,57.76,22,1
154,flinders,0,AU,1572988018,44,-34.58,150.85,17.78,7.7
155,hilo,20,US,1572987847,62,19.71,-155.08,29,3.1
156,alice springs,0,AU,1572987724,23,-23.7,133.88,11,2.1
157,nouadhibou,67,MR,1572988018,64,20.93,-17.03,23,9.3
158,catuday,100,PH,1572988018,87,16.29,119.81,25.74,1.33
159,tuatapere,1,NZ,1572988018,72,-46.13,167.69,11.03,1.1
160,ivdel,99,RU,1572988018,93,60.7,60.42,-1.74,0.25
161,cururupu,17,BR,1572988019,72,-1.82,-44.87,26.79,1.89
162,puerto leguizamo,82,CO,1572988019,89,-0.19,-74.78,27.54,0.9
163,lebu,20,ET,1572988019,51,8.96,38.73,16,6.2
164,mehamn,75,NO,1572988019,80,71.03,27.85,2,5.7
165,port angeles,75,US,1572988019,66,48.12,-123.43,13,3.1
166,jalu,0,LY,1572988019,38,29.03,21.55,21.71,2.44
167,clyde river,90,CA,1572988019,92,70.47,-68.59,-7,6.2
168,ewa beach,40,US,1572988019,74,21.32,-158.01,26.11,0.53
169,miranda,94,BR,1572988019,22,-20.24,-56.38,39.96,2.44
170,colares,20,PT,1572988020,72,38.8,-9.45,15.56,4.1
171,dalinghe,,,,,,,,
172,leningradskiy,6,RU,1572988020,74,69.38,178.42,-10.49,3.25
173,coihaique,40,CL,1572988020,44,-45.58,-72.07,14,2.6
174,obo,87,CF,1572988020,85,5.39,26.49,20.43,0.73
175,toba,20,JP,1572988020,76,34.47,136.83,11,5.7
176,atherton,10,AU,1572988020,83,-17.27,145.48,22.78,1
177,codrington,0,AU,1572988020,81,-28.95,153.24,17.22,3.1
178,margate,20,AU,1572988020,54,-43.03,147.26,12.78,5.7
179,tiksi,96,RU,1572988021,98,71.64,128.87,-22.35,1.02
180,taoudenni,67,ML,1572988021,16,22.68,-3.98,27.76,2.77
181,berlevag,75,NO,1572988021,80,70.86,29.09,1,6.2
182,port said,43,EG,1572988021,26,25.34,30.55,21.04,3.05
183,carnarvon,0,ZA,1572987736,29,-30.97,22.13,22.64,5.21
184,atuona,21,PF,1572988021,73,-9.8,-139.03,26.94,9.65
185,coahuayana,0,MX,1572988021,57,18.62,-100.35,30.72,0.83
186,college,1,US,1572988021,84,64.86,-147.8,-6,1.44
187,tsihombe,,,,,,,,
188,la trinitaria,0,MX,1572988022,57,16.12,-92.05,26.74,1.23
189,saint-georges,100,CA,1572988022,94,46.12,-70.67,7.22,3.65
190,dawei,83,MM,1572988022,80,14.07,98.19,26.86,4.38
191,vilyuysk,91,RU,1572988023,96,63.75,121.63,-19.89,3.01
192,salalah,0,OM,1572988023,69,17.01,54.1,27,1.5
193,saint-pierre,75,FR,1572988023,100,48.95,4.24,9,1.5
194,denpasar,20,ID,1572988023,83,-8.65,115.22,25,1
195,udachnyy,0,RU,1572988023,83,66.42,112.4,-24,2
196,paucartambo,,,,,,,,
197,belushya guba,,,,,,,,
198,morondava,1,MG,1572988023,72,-20.3,44.28,23.72,1.13
199,tarakan,100,ID,1572988023,80,3.3,117.63,24.7,3.46
200,banda aceh,69,ID,1572988002,91,5.56,95.32,22.69,2.12
201,port lincoln,1,AU,1572988023,86,-34.72,135.86,13.33,5.78
202,dikson,100,RU,1572988024,84,73.51,80.55,-16.1,5.65
203,torbay,75,CA,1572988024,60,47.66,-52.73,5.56,2.6
204,u thong,61,TH,1572988024,87,14.38,99.89,22.69,1.54
205,kapaa,75,US,1572988024,74,22.08,-159.32,28,4.1
206,aban,,,,,,,,
207,bongouanou,100,CI,1572988024,96,6.65,-4.2,23.15,0.68
208,hasaki,20,JP,1572988025,93,35.73,140.83,8,1
209,hammerfest,40,NO,1572988025,92,70.66,23.68,-1,1.5
210,iqaluit,75,CA,1572988025,85,63.75,-68.52,-8,2.6
211,mount gambier,40,AU,1572987841,93,-37.83,140.78,11,3.6
212,gohpur,0,IN,1572988026,83,26.89,93.63,16.7,1.53
213,comodoro rivadavia,100,AR,1572988026,21,-45.87,-67.48,21,14.4
214,acari,4,BR,1572988026,47,-6.44,-36.64,26.85,9.81
215,kahului,1,US,1572988026,58,20.89,-156.47,30,4.6
216,popondetta,100,PG,1572988026,88,-8.77,148.24,19.73,0.31
217,san fernando,40,TT,1572988026,88,10.28,-61.46,27,3.1
218,glenluce,93,GB,1572988027,94,54.88,-4.81,7.78,0.45
219,pierre,90,US,1572987770,69,44.37,-100.35,3.89,6.7
220,mnogovershinnyy,100,RU,1572988027,98,53.94,139.92,-2.63,2.71
221,huarmey,0,PE,1572988027,54,-10.07,-78.15,23.2,4.04
222,barabai,22,ID,1572988027,76,-2.59,115.38,22.57,0.82
223,kamiiso,16,JP,1572988027,83,41.82,140.65,0.83,4.98
224,mizan teferi,81,ET,1572988027,95,6.99,35.58,17.37,1.31
225,aransas pass,75,US,1572987771,83,27.91,-97.15,29,5.7
226,iwanai,100,JP,1572988027,81,42.97,140.51,2.59,7.59
227,haines junction,100,CA,1572988027,88,60.75,-137.51,-11,1.26
228,pisco,0,PE,1572987740,30,-13.71,-76.2,22,8.2
229,cayenne,67,GF,1572987841,70,4.94,-52.33,30,5.7
230,mecca,38,SA,1572988028,46,21.43,39.83,26.47,1.11
231,mount pleasant,90,US,1572987868,77,33.16,-94.97,22.78,3.6
232,nicoya,20,CR,1572988028,55,10.15,-85.45,32,5.1
233,salinas,1,US,1572987776,63,36.67,-121.66,27.22,3.1
234,labuhan,22,ID,1572988028,76,-2.54,115.51,22.57,0.82
235,bandipur,0,IN,1572988028,85,11.67,76.63,16.58,1.25
236,airai,13,TL,1572988028,65,-8.93,125.41,19.16,1.52
237,bilma,0,NE,1572988028,18,18.69,12.92,25.52,2.56
238,kaitangata,2,NZ,1572988028,77,-46.28,169.85,11.67,4.02
239,ofaqim,0,IL,1572988028,71,31.31,34.62,21.11,0.45
240,lorengau,98,PG,1572988029,72,-2.02,147.27,28.48,8.46
241,dalbandin,0,PK,1572988029,48,28.9,64.41,14.91,2.02
242,cape town,40,ZA,1572987967,82,-33.93,18.42,18.89,5.1
243,xuddur,100,SO,1572988029,91,4.12,43.89,22.3,7.77
244,saint-augustin,90,CA,1572988029,87,45.63,-73.98,9,6.7
245,gboko,1,NG,1572988029,80,7.32,9,26.13,2.83
246,kainantu,100,PG,1572988029,92,-6.29,145.87,15.11,0.92
247,thunder bay,75,CA,1572987739,53,48.41,-89.26,-3.33,8.7
248,male,69,UA,1572988030,73,50.74,33.7,10.54,4.41
249,barra do corda,69,BR,1572987907,46,-5.5,-45.25,30.79,1.51
250,khonuu,,,,,,,,
251,porto santo,,,,,,,,
252,xichang,99,CN,1572988030,97,27.88,102.25,6.83,0.52
253,axim,7,GH,1572988030,91,4.87,-2.24,24.54,1.12
254,tucuma,,,,,,,,
255,dali,100,CN,1572988030,51,34.79,109.94,13.56,5.85
256,ambulu,1,ID,1572988031,87,-8.35,113.61,24.37,1.92
257,altay,100,CN,1572988031,64,47.83,88.13,-0.72,1.3
258,magalia,1,US,1572988031,28,39.81,-121.58,25,1.5
259,gwadar,23,PK,1572988031,69,25.12,62.33,27.53,4.69
260,olinda,75,AU,1572988031,62,-37.84,145.39,15.56,9.3
261,fredericksburg,1,US,1572987784,32,38.3,-77.46,20,2.1
262,savinka,100,RU,1572988031,75,50.08,47.1,8.32,8.22
263,vostok,100,RU,1572988031,93,46.45,135.83,-10.05,3.47
264,warrington,20,GB,1572987881,81,53.39,-2.59,6.67,0.5
265,sambava,67,MG,1572988032,91,-14.27,50.17,21.44,1.15
266,lahij,0,YE,1572988032,65,13.06,44.88,26.93,2.1
267,los llanos de aridane,75,ES,1572987742,83,28.66,-17.92,22,6.7
268,cody,1,US,1572988032,26,44.53,-109.06,14,8.7
269,touros,40,BR,1572988032,65,-5.2,-35.46,27,5.7
270,mampong,97,GH,1572988032,87,7.06,-1.4,23.08,0.97
271,nanpiao,100,CN,1572988032,27,41.1,120.75,2.63,0.77
272,cabo san lucas,75,MX,1572988032,62,22.89,-109.91,31.11,2.6
273,havelock,90,US,1572987995,83,34.88,-76.9,21,3.1
274,thompson,90,CA,1572987746,78,55.74,-97.86,-13,2.6
275,sao desiderio,90,BR,1572988032,75,-12.36,-44.97,23.3,2.89
276,alta floresta,20,BR,1572988032,52,-9.87,-56.08,34,1.5
277,victoria,90,BN,1572987658,94,5.28,115.24,24,1.5
278,kadykchan,,,,,,,,
279,westport,1,US,1572987812,59,41.14,-73.36,16.11,4.1
280,kodiak,1,US,1572988033,43,39.95,-94.76,12.78,2.6
281,sotnikovskoye,90,RU,1572988033,87,45,43.79,6.58,1.24
282,sumbawa,,,,,,,,
283,pevek,78,RU,1572988033,80,69.7,170.27,-10.71,1.78
284,koumac,39,NC,1572988033,60,-20.56,164.28,25.27,1
285,cabedelo,40,BR,1572988033,69,-6.97,-34.84,27,6.2
286,beloha,77,MG,1572988033,83,-25.17,45.06,20.95,5.99
287,muros,40,ES,1572988033,93,42.77,-9.06,12.78,1.5
288,nabire,100,ID,1572988033,94,-3.36,135.5,21.75,0.83
289,severo-kurilsk,83,RU,1572988034,90,50.68,156.12,1.02,7.06
290,geraldton,90,CA,1572988034,67,49.72,-86.95,-8,4.6
291,caxito,20,BR,1572988034,52,-22.65,-42.51,32,3.6
292,gat,23,SN,1572988034,57,14.69,-16.54,27,6.2
293,komsomolets,100,RU,1572988034,88,52.77,41.29,11.35,6.71
294,halalo,,,,,,,,
295,nanortalik,100,GL,1572988034,91,60.14,-45.24,2.17,12.89
296,chagda,,,,,,,,
297,hofn,100,IS,1572988035,82,64.25,-15.21,1.47,8.07
298,santa isabel do rio negro,99,BR,1572988035,56,-0.41,-65.02,32.02,1.92
299,olafsvik,,,,,,,,
300,calategas,,,,,,,,
301,kavieng,100,PG,1572988035,81,-2.57,150.8,27.58,8.64
302,moranbah,68,AU,1572988035,24,-22,148.04,19.88,9.44
303,carutapera,6,BR,1572988035,77,-1.2,-46.02,27.86,7.27
304,lucapa,8,AO,1572988035,92,-8.42,20.74,19.57,0.92
305,kargat,100,RU,1572988036,78,55.19,80.28,-1.89,6.4
306,fort saint james,100,CA,1572988036,80,54.43,-124.25,-3.49,3.15
307,san alberto,90,PY,1572988036,83,-24.98,-54.91,23,3.1
308,hunza,,,,,,,,
309,tupik,0,RU,1572988036,94,54.43,119.94,-23.28,0.95
310,milkovo,20,BG,1572988036,93,41.53,24.68,17.78,1.5
311,kutum,0,SD,1572988036,19,14.2,24.66,22.02,4.39
312,illoqqortoormiut,,,,,,,,
313,burgos,75,ES,1572988036,81,42.34,-3.7,6,1
314,sandviken,80,SE,1572988036,86,60.62,16.77,-1.11,3.13
315,san bartolome de tirajana,,,,,,,,
316,ponta do sol,93,BR,1572988037,90,-20.63,-46,21.76,2.86
317,aksu,0,KZ,1572988037,100,52.04,76.93,-5,2
318,ukiah,41,US,1572987914,24,39.15,-123.21,27.22,2.09
319,hoquiam,90,US,1572988037,87,46.98,-123.89,12.22,1.5
320,duz,,,,,,,,
321,bossangoa,24,CF,1572988037,63,6.5,17.45,22.31,0.23
322,saint-joseph,2,FR,1572988038,71,43.56,6.97,13.33,4.6
323,lagoa,0,PT,1572988038,77,37.14,-8.45,16,4.1
324,kondinskoye,100,RU,1572988038,94,59.65,67.41,-1.29,3.38
325,ko samui,100,TH,1572988038,75,9.54,99.94,27.82,5.24
326,praia da vitoria,75,PT,1572988038,77,38.73,-27.07,16,2.87
327,port moresby,75,PG,1572988038,88,-9.47,147.16,24,2.6
328,marienburg,75,DE,1572988038,93,52.12,9.98,9.44,3.6
329,hailey,5,US,1572988016,40,43.52,-114.32,12.78,4.1
330,dingle,95,PH,1572988039,89,11,122.67,23.88,2.51
331,havoysund,75,NO,1572988039,69,71,24.66,2,6.7
332,hinton,100,CA,1572987615,56,53.4,-117.57,-4.44,1.79
333,ancud,75,CL,1572988039,76,-41.87,-73.83,11,5.1
334,eskasem,,,,,,,,
335,kendari,36,ID,1572988039,96,-3.99,122.52,22.19,0.87
336,curuguaty,100,PY,1572988039,72,-24.47,-55.69,25.93,4.27
337,coquimbo,20,CL,1572988039,77,-29.95,-71.34,16,6.2
338,namibe,34,AO,1572988039,80,-15.19,12.15,23,1.62
339,foca,20,TR,1572988040,68,38.67,26.76,21,4.1
340,byron bay,0,AU,1572987903,42,-28.65,153.62,20,5.7
341,sorvag,,,,,,,,
342,harper,90,US,1572988040,73,30.3,-99.24,25,4.1
343,pastavy,75,BY,1572988040,86,55.11,26.84,7.99,5.08
344,nkwerre,4,NG,1572988040,94,5.75,7.12,24.1,1.55
345,ust-uda,100,RU,1572988040,79,54.17,103.03,-7.07,0.84
346,khromtau,14,KZ,1572988040,46,50.26,58.44,-1.2,6.84
347,brigantine,1,US,1572988040,67,39.41,-74.36,17.22,1.5
348,luba,100,PH,1572988040,92,17.32,120.7,23.07,1.69
349,kilindoni,1,TZ,1572988040,78,-7.91,39.67,27.59,6.43
350,bowen,75,AU,1572988041,82,-20.01,148.25,25.56,3.1
351,yirol,,,,,,,,
352,kuching,75,MY,1572988041,94,1.56,110.34,24,1.24
353,bilibino,100,RU,1572988041,91,68.06,166.44,-15.13,1.4
354,grajau,,,,,,,,
355,kuche,,,,,,,,
356,shingu,0,JP,1572988041,63,33.72,135.99,14.34,2.99
357,hamilton,75,CA,1572987840,48,43.26,-79.87,9.44,6.7
358,port-cartier,90,CA,1572988042,93,50.03,-66.88,5,2.1
359,eyl,100,SO,1572988042,80,7.98,49.82,26.77,3.07
360,rosario do sul,85,BR,1572988042,80,-30.26,-54.91,22.26,3.61
361,moerai,100,PF,1572988042,63,-22.43,-151.33,22.58,3.35
362,boguchany,100,RU,1572988042,72,58.38,97.46,-7.19,3.01
363,ruwi,0,OM,1572987814,78,23.6,58.55,26,0.5
364,rajanpur,0,PK,1572988042,23,29.1,70.33,23.6,3.1
365,taldan,0,RU,1572988042,64,53.69,124.82,-14.11,4.93
366,marcona,,,,,,,,
367,razole,100,IN,1572988043,82,16.48,81.84,24.19,0.66
368,buta,20,CD,1572988043,86,2.79,24.73,22.05,0.71
369,faya,0,SA,1572988043,29,18.39,42.45,18,2.6
370,deputatskiy,100,RU,1572988043,94,69.3,139.9,-18.07,1.28
371,barentsburg,,,,,,,,
372,nara,0,JP,1572988043,93,34.68,135.8,8.33,0.5
373,bandarbeyla,5,SO,1572988043,81,9.49,50.81,26.95,4.38
374,escanaba,40,US,1572987904,50,45.75,-87.06,1.11,4.6
375,leirvik,40,NO,1572988043,74,59.78,5.5,4.44,4.1
376,waitati,100,NZ,1572988044,76,-45.75,170.57,11.67,3.58
377,kulhudhuffushi,100,MV,1572988044,77,6.62,73.07,27.89,6.67
378,bardiyah,,,,,,,,
379,beringovskiy,92,RU,1572987750,95,63.05,179.32,-2.26,0.46
380,kamennogorsk,100,RU,1572988044,50,60.95,29.13,0.56,6.2
381,vaitupu,,,,,,,,
382,aklavik,40,CA,1572988044,77,68.22,-135.01,-13,1.5
383,whitianga,100,NZ,1572988044,68,-36.83,175.7,22.78,0.45
384,marawi,94,PH,1572988044,89,8,124.29,23.33,2.24
385,sitka,0,US,1572988045,37,37.17,-99.65,14.44,4.02
386,batagay-alyta,100,RU,1572988045,96,67.8,130.41,-19.25,1.67
387,nhulunbuy,40,AU,1572988045,94,-12.18,136.78,23,5.31
388,aysha,11,SY,1572988045,45,36.65,39.37,17.4,2.26
389,angoche,0,MZ,1572988045,86,-16.23,39.91,23.01,1.44
390,bergen,75,NO,1572988045,69,60.39,5.33,4.44,3.1
391,dryden,90,CA,1572987774,61,49.79,-92.84,-8,6.7
392,baoqing,0,CN,1572988045,52,46.32,132.2,-5.04,4.82
393,erzin,20,TR,1572988046,76,36.95,36.2,18.33,0.5
394,germersheim,75,DE,1572988046,93,49.22,8.37,10,2.1
395,santa rosalia,20,IT,1572988046,68,38.07,13.27,21.11,5.7
396,lapeer,75,US,1572988046,48,43.05,-83.32,7.22,5.1
397,pahrump,1,US,1572987954,8,36.21,-115.98,26.11,1.28
398,villarrica,0,CL,1572988046,59,-39.28,-72.23,21.11,6.2
399,port blair,86,IN,1572988046,80,11.67,92.75,27.71,8.58
400,puerto del rosario,75,ES,1572988046,73,28.5,-13.86,21,7.2
401,robertsport,90,LR,1572988046,78,6.75,-11.37,27.98,4.17
402,baoning,100,CN,1572988046,87,25.34,110.03,14,1
403,bocas del toro,100,PA,1572988046,65,9.33,-82.25,21.67,5.36
404,tasiilaq,100,GL,1572988047,72,65.61,-37.64,-2.07,19.89
405,taicheng,0,CN,1572988047,69,22.25,112.8,20.56,1.79
406,babadag,3,RO,1572988047,71,44.89,28.72,14,2.6
407,hambantota,79,LK,1572988047,80,6.12,81.12,26.56,2.82
408,tacuati,100,PY,1572988047,74,-23.46,-56.74,25.47,3.6
409,san rafael,14,AR,1572988047,16,-34.61,-68.33,24.62,4.86
410,kysyl-syr,93,RU,1572988047,96,63.9,122.77,-21.46,2.12
411,zacualpan,75,MX,1572987949,58,21.25,-105.17,30.56,2.6
412,kayerkan,100,RU,1572988048,78,69.35,87.76,-12,8
413,fairbanks,1,US,1572987902,84,64.84,-147.72,-8.89,1.06
414,villaviciosa,40,ES,1572988048,87,43.48,-5.43,13.89,6.2
415,auki,0,NG,1572988048,26,12.18,6.51,26.32,2.24
416,kathmandu,40,NP,1572988048,100,27.71,85.32,13,1.5
417,luanda,75,AO,1572987842,88,-8.83,13.24,23,5.1
418,barinas,0,VE,1572988048,74,8.64,-70.23,29.24,3.39
419,vila,1,IT,1572988048,100,45.18,8.4,11.67,3.1
