,City
319,hoquiam
320,duz
321,bossangoa
322,saint-joseph
323,lagoa
324,kondinskoye
325,ko samui
326,praia da vitoria
327,port moresby
328,marienburg
329,hailey
330,dingle
331,havoysund
332,hinton
333,ancud
334,eskasem
335,kendari
336,curuguaty
337,coquimbo
338,namibe
339,foca
340,byron bay
341,sorvag
342,harper
343,pastavy
344,nkwerre
345,ust-uda
346,khromtau
347,brigantine
348,luba
349,kilindoni
350,bowen
351,yirol
352,kuching
353,bilibino
354,grajau
355,kuche
356,shingu
357,hamilton
358,port-cartier
359,eyl
360,rosario do sul
361,moerai
362,boguchany
363,ruwi
364,rajanpur
365,taldan
366,marcona
367,razole
368,buta
369,faya
370,deputatskiy
371,barentsburg
372,nara
373,bandarbeyla
374,escanaba
375,leirvik
376,waitati
377,kulhudhuffushi
378,bardiyah
379,beringovskiy
380,kamennogorsk
381,vaitupu
382,aklavik
383,whitianga
384,marawi
385,sitka
386,batagay-alyta
387,nhulunbuy
388,aysha
389,angoche
390,bergen
391,dryden
392,baoqing
393,erzin
394,germersheim
395,santa rosalia
396,lapeer
397,pahrump
398,villarrica
399,port blair
400,puerto del rosario
401,robertsport
402,baoning
403,bocas del toro
404,tasiilaq
405,taicheng
406,babadag
407,hambantota
408,tacuati
409,san rafael
410,kysyl-syr
411,zacualpan
412,kayerkan
413,fairbanks
414,villaviciosa
415,auki
416,kathmandu
417,luanda
418,barinas
419,vila
420,liku
421,leshukonskoye
422,rungata
423,gizo
424,parakou
425,canals
426,adelaide
427,nemuro
428,palmer
429,ystad
430,mount isa
431,saebovik
432,mana
433,sao filipe
434,lavrentiya
435,watertown
436,nipawin
437,blenheim
438,grindavik
439,porto walter
440,montrose
441,capinopolis
442,karlstad
443,porto belo
444,yumen
445,san patricio
446,hihifo
447,fuerte olimpo
448,richards bay
449,pauini
450,kitui
451,kikinda
452,nikolskoye
453,campos
454,carman
455,taltal
456,camopi
457,korhogo
458,noumea
459,linqiong
460,san pedro
461,necochea
462,husavik
463,burnie
464,buraydah
465,svetlogorsk
466,gravdal
467,gogrial
468,nizwa
469,longyearbyen
470,mehran
471,tommot
472,xam nua
473,palabuhanratu
474,chulman
475,gachala
476,salinopolis
477,lumut
478,port arthur
479,lasa
480,kaseda
481,amahai
482,villa maria
483,oranjemund
484,foam lake
485,bubaque
486,mahibadhoo
487,barcelos
488,nim ka thana
489,san francisco
490,jumla
491,aranjuez
492,miranda de ebro
493,waipawa
494,hokitika
495,ferme-neuve
496,chapais
497,inhambane
498,nove straseci
499,we
500,cap malheureux
501,mbeya
502,isangel
503,zaterechnyy
504,tevaitoa
505,ugoofaaru
506,saleaula
507,spirovo
508,kampong chhnang
509,tuxpan
510,luderitz
511,tyulgan
512,omboue
513,aykhal
514,honiara
515,fare
516,sentyabrskiy
517,monte patria
518,solovetskiy
519,bemidji
520,lingyuan
521,galdar
522,sicamous
523,qasigiannguit
524,vila velha
525,afumati
526,itarema
527,galiwinku
528,port ellen
529,loikaw
530,korla
531,gorokhovets
532,huescar
533,alihe
534,spassk-dalniy
535,asau
536,ijaki
537,waingapu
538,wilmington
539,umzimvubu
540,rincon
541,fort nelson
542,abu samrah
543,vestmannaeyjar
544,aquiraz
545,qaqortoq
546,ahuimanu
547,port hardy
548,ndola
549,la palma
550,kaduqli
551,gayny
552,okhotsk
553,le moule
554,kirakira
555,lata
556,meiganga
557,matara
558,bereda
559,tuensang
560,betera
561,marzuq
562,lawrenceburg
563,zarand
564,celestun
565,viedma
566,bandar-e lengeh
567,evensk
568,fomboni
569,cockburn harbour
570,henties bay
571,tayturka
572,minas de barroteran
573,weligama
574,sokolo
575,calabozo
576,fukue
577,karkaralinsk
578,san cristobal
579,puteyets
580,vakhtan
581,opuwo
582,raga
583,narsaq
584,vieques
585,vrangel
586,kloulklubed
587,doha
588,acapulco
589,takestan
590,broome
591,tumannyy
592,poronaysk
593,bonavista
594,cortez
595,belaya gora
596,bolungarvik
597,sisimiut
598,mega
599,banepa
600,aberdeen
601,nortelandia
602,chumikan
603,singkang
604,novikovo
605,ajaccio
606,chiredzi
607,sanlucar la mayor
608,changji
609,shenjiamen
610,soyaux
611,asosa
612,villa san giovanni
613,miraflores
614,yomitan
615,saldanha
616,khasan
617,te anau
618,port augusta
619,chipata
620,ozuluama
621,buluang
622,haukipudas
623,sao joao da barra
624,baykit
